LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z,AISLE,CENTERAXIS,AISLESIDE,BAY,WAREHOUSE,AREA,LEVEL
A1-1-L-180-390-0,48,48,55,180,390,0,A1,X,L,1,WARREN,A,1
A1-1-L-180-390-60,48,48,55,180,390,60,A1,X,L,1,WARREN,A,2
A1-1-R-0-390-0,48,48,55,0,390,0,A1,X,R,1,WARREN,A,1
A1-1-R-0-390-60,48,48,55,0,390,60,A1,X,R,1,WARREN,A,2
A1-3-L-180-450-0,48,48,55,180,450,0,A1,X,L,3,WARREN,A,1
A1-3-L-180-450-60,48,48,55,180,450,60,A1,X,L,3,WARREN,A,2
A1-3-R-0-450-0,48,48,55,0,450,0,A1,X,R,3,WARREN,A,1
A1-3-R-0-450-60,48,48,55,0,450,60,A1,X,R,3,WARREN,A,2
A1-4-L-180-498-0,48,48,55,180,498,0,A1,X,L,4,WARREN,A,1
A1-4-L-180-498-60,48,48,55,180,498,60,A1,X,L,4,WARREN,A,2
A1-4-R-0-498-0,48,48,55,0,498,0,A1,X,R,4,WARREN,A,1
A1-4-R-0-498-60,48,48,55,0,498,60,A1,X,R,4,WARREN,A,2
A1-6-L-180-558-0,48,48,55,180,558,0,A1,X,L,6,WARREN,A,1
A1-6-L-180-558-60,48,48,55,180,558,60,A1,X,L,6,WARREN,A,2
A1-6-R-0-558-0,48,48,55,0,558,0,A1,X,R,6,WARREN,A,1
A1-6-R-0-558-60,48,48,55,0,558,60,A1,X,R,6,WARREN,A,2
A1-9-L-180-618-0,48,48,55,180,618,0,A1,X,L,9,WARREN,A,1
A1-9-L-180-618-60,48,48,55,180,618,60,A1,X,L,9,WARREN,A,2
A1-9-R-0-618-0,48,48,55,0,618,0,A1,X,R,9,WARREN,A,1
A1-9-R-0-618-60,48,48,55,0,618,60,A1,X,R,9,WARREN,A,2
A1-12-L-180-678-0,48,48,55,180,678,0,A1,X,L,12,WARREN,A,1
A1-12-L-180-678-60,48,48,55,180,678,60,A1,X,L,12,WARREN,A,2
A1-12-R-0-678-0,48,48,55,0,678,0,A1,X,R,12,WARREN,A,1
A1-12-R-0-678-60,48,48,55,0,678,60,A1,X,R,12,WARREN,A,2
A10-1-L-2232-390-0,48,48,82,2232,390,0,A10,X,L,1,WARREN,A,1
A10-1-L-2232-390-84,48,48,30,2232,390,84,A10,X,L,1,WARREN,A,2
A10-1-R-2052-390-0,48,48,82,2052,390,0,A10,X,R,1,WARREN,A,1
A10-1-R-2052-390-84,48,48,30,2052,390,84,A10,X,R,1,WARREN,A,2
A10-3-L-2232-450-0,48,48,82,2232,450,0,A10,X,L,3,WARREN,A,1
A10-3-L-2232-450-84,48,48,30,2232,450,84,A10,X,L,3,WARREN,A,2
A10-3-R-2052-450-0,48,48,82,2052,450,0,A10,X,R,3,WARREN,A,1
A10-3-R-2052-450-84,48,48,30,2052,450,84,A10,X,R,3,WARREN,A,2
A10-4-L-2232-498-0,48,48,82,2232,498,0,A10,X,L,4,WARREN,A,1
A10-4-L-2232-498-84,48,48,30,2232,498,84,A10,X,L,4,WARREN,A,2
A10-4-R-2052-498-0,48,48,82,2052,498,0,A10,X,R,4,WARREN,A,1
A10-4-R-2052-498-84,48,48,30,2052,498,84,A10,X,R,4,WARREN,A,2
A10-6-L-2232-558-0,48,48,82,2232,558,0,A10,X,L,6,WARREN,A,1
A10-6-L-2232-558-84,48,48,30,2232,558,84,A10,X,L,6,WARREN,A,2
A10-8-R-2052-606-0,48,48,82,2052,606,0,A10,X,R,8,WARREN,A,1
A10-8-R-2052-606-84,48,48,30,2052,606,84,A10,X,R,8,WARREN,A,2
A10-9-L-2232-618-0,48,48,82,2232,618,0,A10,X,L,9,WARREN,A,1
A10-9-L-2232-618-84,48,48,30,2232,618,84,A10,X,L,9,WARREN,A,2
A10-12-L-2232-678-0,48,48,82,2232,678,0,A10,X,L,12,WARREN,A,1
A10-12-L-2232-678-84,48,48,30,2232,678,84,A10,X,L,12,WARREN,A,2
A10-14-R-2052-714-0,48,48,82,2052,714,0,A10,X,R,14,WARREN,A,1
A10-14-R-2052-714-84,48,48,30,2052,714,84,A10,X,R,14,WARREN,A,2
A11-1-L-2460-390-0,48,48,61,2460,390,0,A11,X,L,1,WARREN,A,1
A11-1-L-2460-390-60,48,48,61,2460,390,60,A11,X,L,1,WARREN,A,2
A11-1-R-2280-390-0,48,48,48,2280,390,0,A11,X,R,1,WARREN,A,1
A11-1-R-2280-390-48,48,48,22,2280,390,48,A11,X,R,1,WARREN,A,2
A11-2-R-2280-438-48,48,48,30,2280,438,48,A11,X,R,2,WARREN,A,3
A11-3-L-2460-450-0,48,48,61,2460,450,0,A11,X,L,3,WARREN,A,1
A11-3-L-2460-450-60,48,48,61,2460,450,60,A11,X,L,3,WARREN,A,2
A11-3-R-2280-450-0,48,48,48,2280,450,0,A11,X,R,3,WARREN,A,1
A11-3-R-2280-450-48,48,48,22,2280,450,48,A11,X,R,3,WARREN,A,2
A11-4-L-2460-498-0,48,48,61,2460,498,0,A11,X,L,4,WARREN,A,1
A11-4-L-2460-498-60,48,48,61,2460,498,60,A11,X,L,4,WARREN,A,2
A11-4-R-2280-498-0,48,48,48,2280,498,0,A11,X,R,4,WARREN,A,1
A11-4-R-2280-498-48,48,48,30,2280,498,48,A11,X,R,4,WARREN,A,3
A11-5-R-2280-546-48,48,48,30,2280,546,48,A11,X,R,5,WARREN,A,3
A11-6-L-2460-558-0,48,48,61,2460,558,0,A11,X,L,6,WARREN,A,1
A11-6-L-2460-558-60,48,48,61,2460,558,60,A11,X,L,6,WARREN,A,2
A11-8-R-2280-606-0,48,48,48,2280,606,0,A11,X,R,8,WARREN,A,1
A11-8-R-2280-606-48,48,48,22,2280,606,48,A11,X,R,8,WARREN,A,2
A11-9-L-2460-618-0,48,48,61,2460,618,0,A11,X,L,9,WARREN,A,1
A11-9-L-2460-618-60,48,48,61,2460,618,60,A11,X,L,9,WARREN,A,2
A11-10-R-2280-654-48,48,48,30,2280,654,48,A11,X,R,10,WARREN,A,3
A11-12-L-2460-678-0,48,48,61,2460,678,0,A11,X,L,12,WARREN,A,1
A11-12-L-2460-678-60,48,48,61,2460,678,60,A11,X,L,12,WARREN,A,2
A11-14-R-2280-714-0,48,48,48,2280,714,0,A11,X,R,14,WARREN,A,1
A11-14-R-2280-714-48,48,48,22,2280,714,48,A11,X,R,14,WARREN,A,2
A1Y-1-L-102-0-0,48,48,55,102,0,0,A1Y,Y,L,1,WARREN,A,1
A1Y-1-L-102-0-60,48,48,22,102,0,60,A1Y,Y,L,1,WARREN,A,2
A1Y-1-L-102-0-84,48,48,30,102,0,84,A1Y,Y,L,1,WARREN,A,3
A1Y-2-L-162-0-0,48,48,22,162,0,0,A1Y,Y,L,2,WARREN,A,2
A1Y-2-L-162-0-24,48,48,30,162,0,24,A1Y,Y,L,2,WARREN,A,3
